RowID,CallNumber,CallDuration,CallHour,CallMinute,CallSecond,UnitID,Incident Number,CallType,CallDate,Watch Date,ReceivedDtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,AvailableDtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location
190051922-E38,190051922,40.2,14,54,22,E38,19002016,Outside Fire,1/5/19,1/5/19,1/5/19 14:54:22,1/5/19 2:54:22 PM,1/5/19 2:55:24 PM,1/5/19 2:55:24 PM,,,,Fire,1/5/19 3:34:34 PM,GEARY ST/LARKIN ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,ENGINE,2,4,6,Tenderloin,"(37.78610103882, -122.418088098825)"
190051922-E41,190051922,1.033333334,14,54,22,E41,19002016,Outside Fire,1/5/19,1/5/19,1/5/19 14:54:22,1/5/19 2:54:22 PM,1/5/19 2:54:22 PM,1/5/19 2:54:22 PM,1/5/19 2:54:22 PM,,,Fire,1/5/19 2:55:24 PM,GEARY ST/LARKIN ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,ENGINE,1,4,6,Tenderloin,"(37.78610103882, -122.418088098825)"
190061817-E03,190061817,8.899999995,15,10,22,E03,19002436,Outside Fire,1/6/19,1/6/19,1/6/19 15:10:22,1/6/19 3:12:00 PM,1/6/19 3:12:10 PM,1/6/19 3:13:21 PM,1/6/19 3:16:16 PM,,,Fire,1/6/19 3:19:16 PM,300 Block of EDDY ST,San Francisco,94102,B02,3,1545,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.783838518003, -122.41377551206)"
190073836-E01,190073836,22,22,48,2,E01,19003079,Vehicle Fire,1/7/19,1/7/19,1/7/19 22:48:02,1/7/19 10:50:12 PM,1/7/19 10:50:20 PM,1/7/19 10:52:17 PM,1/7/19 10:55:11 PM,,,Fire,1/7/19 11:10:02 PM,200 Block of EDDY ST,San Francisco,94102,B03,3,1453,3,3,3,TRUE,Fire,1,ENGINE,1,3,6,Tenderloin,"(37.783982558749, -122.411762530716)"
190123353-E03,190123353,22.51666666,19,41,16,E03,19005072,Vehicle Fire,1/12/19,1/12/19,1/12/19 19:41:16,1/12/19 7:42:40 PM,1/12/19 7:42:54 PM,1/12/19 7:43:58 PM,1/12/19 7:45:21 PM,,,Fire,1/12/19 8:03:47 PM,HYDE ST/ELLIS ST,San Francisco,94109,B02,3,1555,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.784448840667, -122.416071735104)"
190123353-T03,190123353,21.43333332,19,41,16,T03,19005072,Vehicle Fire,1/12/19,1/12/19,1/12/19 19:41:16,1/12/19 7:42:40 PM,1/12/19 7:42:54 PM,1/12/19 7:44:27 PM,1/12/19 7:45:42 PM,,,Fire,1/12/19 8:02:42 PM,HYDE ST/ELLIS ST,San Francisco,94109,B02,3,1555,3,3,3,FALSE,Fire,1,TRUCK,2,2,6,Tenderloin,"(37.784448840667, -122.416071735104)"
190123468-E03,190123468,7.966666664,20,18,16,E03,19005090,Outside Fire,1/12/19,1/12/19,1/12/19 20:18:16,1/12/19 8:19:11 PM,1/12/19 8:19:26 PM,1/12/19 8:20:30 PM,1/12/19 8:22:35 PM,,,No Merit,1/12/19 8:26:14 PM,ELLIS ST/JONES ST,San Francisco,94102,B03,3,1461,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.784866243738, -122.412782128267)"
190133358-E03,190133358,12.68333333,21,13,32,E03,19005504,Outside Fire,1/13/19,1/13/19,1/13/19 21:13:32,1/13/19 9:13:48 PM,1/13/19 9:14:00 PM,1/13/19 9:15:10 PM,1/13/19 9:18:21 PM,,,Fire,1/13/19 9:26:13 PM,MCALLISTER ST/HYDE ST,San Francisco,94102,B02,36,1553,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.780719176876, -122.415315616471)"
190143536-E03,190143536,5.599999999,20,14,47,E03,19005923,Outside Fire,1/14/19,1/14/19,1/14/19 20:14:47,1/14/19 8:15:15 PM,1/14/19 8:15:36 PM,1/14/19 8:16:32 PM,1/14/19 8:18:22 PM,,,Fire,1/14/19 8:20:23 PM,LARKIN ST/OFARRELL ST,San Francisco,94109,B04,3,1642,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.785167214699, -122.41790141136)"
190170193-E03,190170193,9.249999993,1,55,12,E03,19006942,Outside Fire,1/17/19,1/16/19,1/17/19 1:55:12,1/17/19 1:55:12 AM,1/17/19 1:55:18 AM,1/17/19 1:57:05 AM,1/17/19 1:59:53 AM,,,Fire,1/17/19 2:04:27 AM,ELLIS ST/TAYLOR ST,San Francisco,94102,B03,3,1366,B,3,3,TRUE,Fire,1,ENGINE,1,3,6,Tenderloin,"(37.785074595614, -122.411139801067)"
190202390-E03,190202390,16.28333334,16,43,30,E03,19008536,Outside Fire,1/20/19,1/20/19,1/20/19 16:43:30,1/20/19 4:45:32 PM,1/20/19 4:45:43 PM,1/20/19 4:46:15 PM,1/20/19 4:51:14 PM,,,Fire,1/20/19 4:59:47 PM,WILLOW ST/LARKIN ST,San Francisco,94109,B02,3,1643,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.783777522343, -122.417618573606)"
190210199-E03,190210199,26.1,2,12,55,E03,19008698,Outside Fire,1/21/19,1/20/19,1/21/19 2:12:55,1/21/19 2:14:18 AM,1/21/19 2:14:20 AM,1/21/19 2:15:59 AM,1/21/19 2:16:55 AM,,,Fire,1/21/19 2:39:01 AM,800 Block of BLK OFARRELL ST,San Francisco,94109,B04,3,1642,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.784929521282, -122.417921890967)"
190210206-E36,190210206,20.95,2,19,15,E36,19008699,Outside Fire,1/21/19,1/20/19,1/21/19 2:19:15,1/21/19 2:19:43 AM,1/21/19 2:20:14 AM,1/21/19 2:22:23 AM,1/21/19 2:25:21 AM,,,Fire,1/21/19 2:40:12 AM,EDDY ST/POLK ST,San Francisco,94109,B02,3,3115,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.783101399277, -122.419181705034)"
190220776-E36,190220776,13.06666666,8,12,11,E36,19009140,Outside Fire,1/22/19,1/22/19,1/22/19 8:12:11,1/22/19 8:13:49 AM,1/22/19 8:13:55 AM,1/22/19 8:14:03 AM,1/22/19 8:15:49 AM,,,Fire,1/22/19 8:25:15 AM,HAYES ST/LARKIN ST,San Francisco,94102,B02,36,1646,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.777722751007, -122.416401071795)"
190221356-78,190221356,3.01666667,10,59,2,78,19009193,Outside Fire,1/22/19,1/22/19,1/22/19 10:59:02,1/22/19 10:59:02 AM,1/22/19 11:01:08 AM,1/22/19 11:01:08 AM,1/22/19 11:01:08 AM,,,Fire,1/22/19 11:02:03 AM,800 Block of OFARRELL ST,San Francisco,94109,B04,3,1642,3,3,3,TRUE,Fire,1,MEDIC,1,2,6,Tenderloin,"(37.785009489537, -122.418713807613)"
190221356-E03,190221356,2.916666667,10,59,2,E03,19009193,Outside Fire,1/22/19,1/22/19,1/22/19 10:59:02,1/22/19 10:59:02 AM,1/22/19 10:59:23 AM,1/22/19 10:59:45 AM,,,,Fire,1/22/19 11:01:57 AM,800 Block of OFARRELL ST,San Francisco,94109,B04,3,1642,3,3,3,TRUE,Fire,1,ENGINE,2,2,6,Tenderloin,"(37.785009489537, -122.418713807613)"
190233047-E36,190233047,4.650000008,17,5,34,E36,19009711,Vehicle Fire,1/23/19,1/23/19,1/23/19 17:05:34,1/23/19 5:07:41 PM,1/23/19 5:08:07 PM,,,,,Fire,1/23/19 5:10:13 PM,200 Block of LARKIN ST,San Francisco,94102,B02,36,1645,3,3,3,FALSE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.78003611028, -122.416789524298)"
190243345-E36,190243345,7.466666662,19,22,28,E36,19010159,Vehicle Fire,1/24/19,1/24/19,1/24/19 19:22:28,1/24/19 7:24:56 PM,1/24/19 7:25:32 PM,1/24/19 7:26:31 PM,1/24/19 7:29:21 PM,,,Fire,1/24/19 7:29:56 PM,LARKIN ST/FULTON ST,San Francisco,94102,B02,36,1645,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.779584435791, -122.416768094108)"
190251402-B02,190251402,3.716666666,11,7,22,B02,19010397,Vehicle Fire,1/25/19,1/25/19,1/25/19 11:07:22,1/25/19 11:09:20 AM,1/25/19 11:09:33 AM,1/25/19 11:09:38 AM,,,,Fire,1/25/19 11:11:05 AM,LARKIN ST/MCALLISTER ST,San Francisco,94102,B02,36,1645,3,3,3,FALSE,Fire,1,CHIEF,1,2,6,Tenderloin,"(37.780470341341, -122.416947606226)"
190251402-E36,190251402,3.716666666,11,7,22,E36,19010397,Vehicle Fire,1/25/19,1/25/19,1/25/19 11:07:22,1/25/19 11:09:20 AM,1/25/19 11:09:33 AM,1/25/19 11:10:41 AM,,,,Fire,1/25/19 11:11:05 AM,LARKIN ST/MCALLISTER ST,San Francisco,94102,B02,36,1645,3,3,3,TRUE,Fire,1,ENGINE,2,2,6,Tenderloin,"(37.780470341341, -122.416947606226)"
190251402-T03,190251402,3.716666666,11,7,22,T03,19010397,Vehicle Fire,1/25/19,1/25/19,1/25/19 11:07:22,1/25/19 11:09:20 AM,1/25/19 11:09:33 AM,1/25/19 11:09:42 AM,,,,Fire,1/25/19 11:11:05 AM,LARKIN ST/MCALLISTER ST,San Francisco,94102,B02,36,1645,3,3,3,FALSE,Fire,1,TRUCK,3,2,6,Tenderloin,"(37.780470341341, -122.416947606226)"
190270255-E03,190270255,10.3,1,46,22,E03,19011152,Outside Fire,1/27/19,1/26/19,1/27/19 1:46:22,1/27/19 1:49:22 AM,1/27/19 1:49:35 AM,1/27/19 1:50:38 AM,1/27/19 1:51:20 AM,,,Fire,1/27/19 1:56:40 AM,GEARY ST/LARKIN ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,ENGINE,1,4,6,Tenderloin,"(37.78610103882, -122.418088098825)"
190271425-E36,190271425,5.899999996,11,34,44,E36,19011272,Vehicle Fire,1/27/19,1/27/19,1/27/19 11:34:44,1/27/19 11:36:58 AM,1/27/19 11:37:11 AM,1/27/19 11:38:05 AM,,,,Fire,1/27/19 11:40:38 AM,LARKIN ST/FULTON ST,San Francisco,94102,B02,36,1645,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.779584435791, -122.416768094108)"
190271425-T03,190271425,5.683333331,11,34,44,T03,19011272,Vehicle Fire,1/27/19,1/27/19,1/27/19 11:34:44,1/27/19 11:36:58 AM,1/27/19 11:37:11 AM,1/27/19 11:37:55 AM,,,,Fire,1/27/19 11:40:25 AM,LARKIN ST/FULTON ST,San Francisco,94102,B02,36,1645,3,3,3,FALSE,Fire,1,TRUCK,2,2,6,Tenderloin,"(37.779584435791, -122.416768094108)"
190314300-E03,190314300,6.116666661,23,43,36,E03,19013147,Outside Fire,1/31/19,1/31/19,1/31/19 23:43:36,1/31/19 11:43:36 PM,1/31/19 11:43:42 PM,1/31/19 11:45:29 PM,1/31/19 11:47:52 PM,,,Fire,1/31/19 11:49:43 PM,HYDE ST/TURK ST,San Francisco,94102,B02,3,1554,C,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.782585033281, -122.415693872109)"
190353742-E03,190353742,8.750000002,21,2,34,E03,19014840,Outside Fire,2/4/19,2/4/19,2/4/19 21:02:34,2/4/19 9:04:37 PM,2/4/19 9:04:52 PM,2/4/19 9:05:57 PM,2/4/19 9:09:25 PM,,,Fire,2/4/19 9:11:19 PM,ELLIS ST/TAYLOR ST,San Francisco,94102,B03,3,1366,3,3,3,TRUE,Fire,1,ENGINE,1,3,6,Tenderloin,"(37.785074595614, -122.411139801067)"
190370681-E03,190370681,11.96666667,7,48,21,E03,19015424,Outside Fire,2/6/19,2/5/19,2/6/19 7:48:21,2/6/19 7:51:53 AM,2/6/19 7:52:14 AM,2/6/19 7:52:55 AM,2/6/19 7:55:55 AM,,,Fire,2/6/19 8:00:19 AM,TURK ST/POLK ST,San Francisco,94102,B02,3,3114,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.782169269196, -122.418993274637)"
190372445-E01,190372445,9.5,15,0,30,E01,19015576,Vehicle Fire,2/6/19,2/6/19,2/6/19 15:00:30,2/6/19 3:02:28 PM,2/6/19 3:02:52 PM,2/6/19 3:03:07 PM,,,,Fire,2/6/19 3:10:00 PM,LARKIN ST/GOLDEN GATE AV,San Francisco,94102,B02,3,1644,3,3,3,TRUE,Fire,1,ENGINE,2,2,6,Tenderloin,"(37.781447494002, -122.417145613411)"
190372445-T04,190372445,9.5,15,0,30,T04,19015576,Vehicle Fire,2/6/19,2/6/19,2/6/19 15:00:30,2/6/19 3:02:28 PM,2/6/19 3:02:52 PM,2/6/19 3:03:42 PM,2/6/19 3:08:33 PM,,,Fire,2/6/19 3:10:00 PM,LARKIN ST/GOLDEN GATE AV,San Francisco,94102,B02,3,1644,3,3,3,TRUE,Fire,1,TRUCK,1,2,6,Tenderloin,"(37.781447494002, -122.417145613411)"
190381057-E03,190381057,9.983333331,9,40,15,E03,19015921,Outside Fire,2/7/19,2/7/19,2/7/19 9:40:15,2/7/19 9:43:15 AM,2/7/19 9:44:32 AM,2/7/19 9:46:02 AM,2/7/19 9:48:03 AM,,,Fire,2/7/19 9:50:14 AM,LARKIN ST/EDDY ST,San Francisco,94109,B02,3,1643,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.783310888813, -122.417528774391)"
190413457-E03,190413457,3.116666662,20,47,6,E03,19017482,Outside Fire,2/10/19,2/10/19,2/10/19 20:47:06,2/10/19 8:47:06 PM,2/10/19 8:47:19 PM,2/10/19 8:48:32 PM,,,,Cancelled,2/10/19 8:50:13 PM,200 Block of TURK ST,San Francisco,94102,B03,3,1456,A,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.782845034474, -122.413221766738)"
190444131-E03,190444131,7.900000003,23,14,48,E03,19018833,Outside Fire,2/13/19,2/13/19,2/13/19 23:14:48,2/13/19 11:15:48 PM,2/13/19 11:16:12 PM,2/13/19 11:17:19 PM,2/13/19 11:20:28 PM,,,Fire,2/13/19 11:22:42 PM,100 Block of MCALLISTER ST,San Francisco,94102,B02,36,1553,3,3,3,TRUE,Fire,1,ENGINE,1,2,6,Tenderloin,"(37.78087725869, -122.414506898938)"
190464001-79,190464001,23.76666666,22,35,10,79,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:36:11 PM,2/15/19 10:46:26 PM,,,Fire,2/15/19 10:58:56 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,MEDIC,9,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-B02,190464001,50.51666667,22,35,10,B02,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:36:34 PM,2/15/19 10:39:38 PM,,,Fire,2/15/19 11:25:41 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,CHIEF,4,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-B04,190464001,16.28333333,22,35,10,B04,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:38:45 PM,2/15/19 10:50:26 PM,,,Fire,2/15/19 10:51:27 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,CHIEF,12,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-D2,190464001,23.91666666,22,35,10,D2,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:38:28 PM,2/15/19 10:40:06 PM,,,Fire,2/15/19 10:59:05 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,CHIEF,6,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-E01,190464001,18.88333333,22,35,10,E01,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:37:16 PM,2/15/19 10:37:16 PM,2/15/19 10:41:29 PM,,,Fire,2/15/19 10:54:03 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,ENGINE,7,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-E02,190464001,16.41666666,22,35,10,E02,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:36:37 PM,2/15/19 10:39:35 PM,,,Fire,2/15/19 10:51:35 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,ENGINE,3,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-E03,190464001,63.71666666,22,35,10,E03,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:37:24 PM,2/15/19 10:37:24 PM,2/15/19 10:50:26 PM,,,Fire,2/15/19 11:38:53 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,ENGINE,13,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-E38,190464001,20.03333333,22,35,10,E38,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:37:31 PM,2/15/19 10:50:26 PM,,,Fire,2/15/19 10:55:12 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,ENGINE,11,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-E41,190464001,26.01666666,22,35,10,E41,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:37:05 PM,2/15/19 10:38:11 PM,,,Fire,2/15/19 11:01:11 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,ENGINE,1,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-MA1,190464001,42.3,22,35,10,MA1,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 11:12:45 PM,2/15/19 11:12:45 PM,2/15/19 11:12:45 PM,,,Fire,2/15/19 11:17:28 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,SUPPORT,14,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-RC1,190464001,29.26666667,22,35,10,RC1,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:44:45 PM,2/15/19 10:44:45 PM,2/15/19 10:48:17 PM,,,Fire,2/15/19 11:04:26 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,RESCUE CAPTAIN,10,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-RC2,190464001,11.58333333,22,35,10,RC2,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:43:51 PM,,,,,Fire,2/15/19 10:46:45 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,TRUE,Fire,1,RESCUE CAPTAIN,15,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-RS1,190464001,19.41666667,22,35,10,RS1,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:37:23 PM,2/15/19 10:40:05 PM,,,Fire,2/15/19 10:54:35 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,RESCUE SQUAD,5,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-T03,190464001,49.63333333,22,35,10,T03,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:37:26 PM,2/15/19 10:38:21 PM,,,Fire,2/15/19 11:24:48 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,TRUCK,2,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464001-T05,190464001,20.68333333,22,35,10,T05,19019798,Structure Fire,2/15/19,2/15/19,2/15/19 22:35:10,2/15/19 10:35:45 PM,2/15/19 10:36:01 PM,2/15/19 10:36:59 PM,2/15/19 10:43:16 PM,,,Fire,2/15/19 10:55:51 PM,700 Block of GEARY ST,San Francisco,94109,B04,3,1556,3,3,3,FALSE,Fire,1,TRUCK,8,4,6,Tenderloin,"(37.786360791464, -122.415616900247)"
190464115-79,190464115,45.71666667,23,11,47,79,19019809,Vehicle Fire,2/15/19,2/15/19,2/15/19 23:11:47,2/15/19 11:11:47 PM,2/15/19 11:13:47 PM,2/15/19 11:13:57 PM,2/15/19 11:18:18 PM,,,Patient Declined Transport,2/15/19 11:57:30 PM,LARKIN ST/MYRTLE ST,San Francisco,94109,B04,3,1642,A,3,3,TRUE,Fire,1,MEDIC,3,4,6,Tenderloin,"(37.785641708864, -122.417996270411)"
190464115-B04,190464115,7.316666669,23,11,47,B04,19019809,Vehicle Fire,2/15/19,2/15/19,2/15/19 23:11:47,2/15/19 11:11:47 PM,2/15/19 11:13:47 PM,2/15/19 11:14:27 PM,2/15/19 11:17:18 PM,,,Patient Declined Transport,2/15/19 11:19:06 PM,LARKIN ST/MYRTLE ST,San Francisco,94109,B04,3,1642,A,3,3,FALSE,Fire,1,CHIEF,2,4,6,Tenderloin,"(37.785641708864, -122.417996270411)"
